Table 1
,,,,,,,,,,,,,,
,Driver Name,Type,Polarion ID,Title,Reseller Name,Created Date,Approved Date,Start Date/In Progress,Delivery Date,Resolved Date,Resolution,Version Introduced,Was there any known issues after delivery?,Comments
,rchcproi,Inquiry,IM-122456,DDR rchcproi - split up indices option,Roche,2023-08-25,2023-09-08,2023-09-11,2023-10-04,,,v8.00.0033,,
,quomqasi,Inquiry,IM-122457,"quomqasi - Enhancements in ""Hold Results for Tests Not Requested for XX days"" functionality",,2023-08-25,2023-08-31,2023-09-04,2023-09-15,,2023-12-30 10:28,v8.00.0001,,
,sisixlil,Known Issue,IM-122619,Driver will try to send outgoing result message indefinitely if any incoming message other than ACK is received,Sunquest,2023-08-30,,,2023-10-13,,,v8.04.0033,,
,abdalmpi,Inquiry,IM-122694,abdalmpi - enhancements requested,Abbott,2023-09-01,2023-09-08,2023-09-08,2023-10-04,,,8.00.0005,,
,mgcbrz8i,Known Issue,IM-122831,imdtemp not using instnum as subscript - mgcbrz8i,MedGraphics,2023-09-07,,,2023-09-22,,2023-10-27 07:37,,,
,diihl7ml,Known Issue,IM-122835,imdtemp not using instnum as subscript - diihl7ml,DI,2023-09-07,,,2023-11-30,,2023-12-01 14:51,v8.00.0001,,
,hlcqs2ki,Known Issue,IM-122838,imtemp not using instnum as subscript - hlcqs2ki,,2023-09-07,,,2023-11-29,,2023-12-13 11:13,,,
,cphgnxpi,Inquiry,IM-122870,cphgnxpi - Merge changes from dev17 and dev18,,2023-09-08,2023-09-11,2023-09-11,2023-09-18,,2023-10-05 16:40,mgcbrz8i v8.02.0001,,
,gnppanti,Inquiry,IM-122908,DDR for gnppanti,Grifols,2023-09-08,2024-01-08,2024-01-08,2023-10-30,,2024-01-05 17:22,v8.00.0046,,
,scpx100i,Inquiry,IM-122973,DDR for scpx100i,Scopio,2023-09-11,2023-11-14,2023-11-14,2023-11-16,,,hlcqs2ki v8.00.0001,,
,bdcclrsi,Known Issue,IM-123232,imtemp not using instnum as subscript - bdcclrsi,Beckman,2023-09-14,,,2023-11-30,,2023-09-18 10:25,,,
,hbopathl,Known Issue,IM-123234,imtemp not using instnum as subscript - hbopathl,,2023-09-14,,,2023-11-01,,,v8.00.0013,,
,mtsneoni,Inquiry,IM-123353,NDR MetaSystems Neon - HL7 bi with image/pdf,,2023-09-21,2023-10-26,2023-11-07,2023-11-29,,2024-01-08 15:53,v8.00.0001,,
,abimulti,Inquiry,IM-123450,DDR - abimulti Enhancement Requests,,2023-09-25,2023-10-05,2023-10-25,2023-12-22,,2023-12-07 13:24,v8.08.0004,,
,pvtastdi,Inquiry,IM-123464,pvtastdi - Always send '0' in M.11 for null query responses,,2023-09-26,2023-11-06,2023-11-08,2023-11-15,,2023-12-08 07:31,v8.00.0001,,
,sysct90i,Inquiry,IM-123466,sysct90i - Additional changes for Healius - UI improvements,Sysmex,2023-09-26,2023-10-12,2023-10-18,2023-11-09,,,,,
,rchcb58i,Inquiry,IM-123547,DDR for rchcb58i,Roche,2023-09-28,2023-11-08,2023-11-08,2023-11-23,,,,,
,wynhl7ml,Inquiry,IM-123634,DDR wynhl7ml - additional values for MSA.1 acks,,2023-10-03,2023-10-12,2023-10-13,2023-10-25,,,,,
,agi4200i,Known Issue,IM-123653,agi4200i - Driver doesn't parse path /File/Samples/Sample/RNA/RINe from XML,,2023-10-04,,,2023-10-20,,,,,
,rchintei,Inquiry,IM-123776,DDR rchintei - parse result d/t not send current d/t,Roche,2023-10-09,2023-11-13,2023-11-22,2023-12-07,,2023-12-27 10:26,v8.00.0001,,
,aumlinqi,Inquiry,IM-123780,NDR Automata LINQ genomic automation rest API JSON,,2023-10-09,2023-11-30,2023-12-07,2023-12-19,,2024-01-02 08:04,v8.00.0005,,
,rchc8kai,Inquiry,IM-123923,DDR rchc8kai - new error code needed,Roche,2023-10-11,2023-10-12,2023-10-30,2023-11-23,,2024-01-22 06:05,v8.00.0001,,
,sebphrsi,Inquiry,IM-123957,DDR sebphrsi - process jp-e-g files not just jpg files,SEBIA Phoresis,2023-10-12,2023-10-26,2023-12-01,2023-12-08,,,v8.00.0036,,
,rchc8kai,Inquiry,IM-124048,"DDR for rchc8kai - When Holding a test for HIL results, do not send a resulted test that has yet to be released",Roche,2023-10-16,2023-11-08,2023-11-08,2023-11-23,,,,,
,mgcrangi,Inquiry,IM-124711,mgcrangi - Parse additional fields,MedGraphics,2023-11-06,2023-11-16,2023-11-17,2023-11-30,,2024-01-22 06:53,,,
,rchpurei,Known Issue,IM-124780,Cancel message is sent in response to a query,Roche,2023-11-07,,,2023-12-20,,,v8.00.0001,,
,rchcproi,Known Issue,IM-124781,Cancel message is sent in response to a query,Roche,2023-11-07,,,2023-12-20,,2024-01-22 06:53,v8.00.0001,,
,rchinfti,Known Issue,IM-125066,Order Messages Contain Date/Times with no Time,Roche,2023-11-16,,,2023-12-14,,2024-02-16 02:31,v8.13.0001,,
,quomqasi,Inquiry,IM-125287,Company Name Quotient BD needs to be changed to AliveDx,,2023-11-28,2023-12-01,2023-12-13,2023-12-20,,2024-01-10 03:03,quomqasi version 8.00.0001,,
